scene_id,date,cog_url,avg_cloud_pct,total_tiles,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y
2025-01-20t102239,2025-01-20,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-20t102239/swisseo_s2-sr_v200_mosaic_2025-01-20t102239_cloudmask_10m.tif,91.86,27440,2597220.0,1058340.0,2839220.0,1303340.0
2025-01-18t103351,2025-01-18,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-18t103351/swisseo_s2-sr_v200_mosaic_2025-01-18t103351_cloudmask_10m.tif,96.19,23755,2479610.0,1058190.0,2761610.0,1303190.0
2025-01-16t104259,2025-01-16,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-16t104259/swisseo_s2-sr_v200_mosaic_2025-01-16t104259_cloudmask_10m.tif,97.4,3489,2480220.0,1104390.0,2569220.0,1267390.0
2025-01-15t102351,2025-01-15,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-15t102351/swisseo_s2-sr_v200_mosaic_2025-01-15t102351_cloudmask_10m.tif,94.58,25821,2614220.0,1077340.0,2839220.0,1303340.0
2025-01-13t103309,2025-01-13,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-13t103309/swisseo_s2-sr_v200_mosaic_2025-01-13t103309_cloudmask_10m.tif,75.05,10809,2479610.0,1097190.0,2761610.0,1303190.0
2025-01-11t104411,2025-01-11,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-11t104411/swisseo_s2-sr_v200_mosaic_2025-01-11t104411_cloudmask_10m.tif,87.63,2618,2480220.0,1104390.0,2569220.0,1267390.0
2025-01-10t102319,2025-01-10,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-10t102319/swisseo_s2-sr_v200_mosaic_2025-01-10t102319_cloudmask_10m.tif,92.82,27771,2597220.0,1058340.0,2839220.0,1303340.0
2025-01-08t103421,2025-01-08,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-08t103421/swisseo_s2-sr_v200_mosaic_2025-01-08t103421_cloudmask_10m.tif,95.27,40377,2479610.0,1058190.0,2761610.0,1303190.0
2025-01-07t101319,2025-01-07,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-07t101319/swisseo_s2-sr_v200_mosaic_2025-01-07t101319_cloudmask_10m.tif,80.25,1661,2800210.0,1116490.0,2839210.0,1215490.0
2025-01-06t104329,2025-01-06,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-06t104329/swisseo_s2-sr_v200_mosaic_2025-01-06t104329_cloudmask_10m.tif,95.97,3770,2480220.0,1104390.0,2567220.0,1266390.0
2025-01-05t102421,2025-01-05,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-05t102421/swisseo_s2-sr_v200_mosaic_2025-01-05t102421_cloudmask_10m.tif,94.32,33616,2597220.0,1058340.0,2839220.0,1303340.0
2025-01-03t103339,2025-01-03,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-03t103339/swisseo_s2-sr_v200_mosaic_2025-01-03t103339_cloudmask_10m.tif,85.85,23314,2480610.0,1084190.0,2761610.0,1303190.0
2025-01-01t104441,2025-01-01,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-01t104441/swisseo_s2-sr_v200_mosaic_2025-01-01t104441_cloudmask_10m.tif,95.65,927,2486220.0,1109390.0,2569220.0,1267390.0
